Z,element,orbital,energy_Ry,energy_eV,core_electrons,star,ef_up,ef_dn,a_bohr,ewidth,status
1,H,,,,,,0.7,0.7,8.64216,1.2,ok
2,He,1s,-1.1398639,-15.509,1,0,0.7,0.7,9.0,1.2,ok
3,Li,1s,-3.165384,-43.067,1,0,0.7,0.7,8.35677,1.2,ok
4,Be,1s,-6.5727406,-89.427,1,0,0.7,0.7,6.02977,1.2,ok
5,B,1s,-12.0531284,-163.991,1,0,0.7,0.7,5.81554,1.2,ok
6,C,1s,-19.2470943,-261.87,1,0,0.7,0.7,6.17774,1.2,ok
6,C,2s,0.6594456,8.972,1,1,0.7,0.7,6.17774,1.2,ok
7,N,1s,-28.1738105,-383.324,1,0,0.7,0.7,9.1872,1.2,ok
7,N,2s,-1.1239049,-15.292,1,0,0.7,0.7,9.1872,1.2,ok
8,O,1s,-37.7427775,-513.517,1,0,0.7,0.7,8.56138,1.2,ok
8,O,2s,-1.5265054,-20.769,1,0,0.7,0.7,8.56138,1.2,ok
9,F,1s,-48.7906015,-663.83,1,0,0.7,0.7,9.15166,1.2,ok
9,F,2s,-2.0719856,-28.191,1,0,0.7,0.7,9.15166,1.2,ok
10,Ne,1s,-61.1531839,-832.031,1,0,0.7,0.7,9.07974,1.2,ok
10,Ne,2s,-2.5941302,-35.295,1,0,0.7,0.7,9.07974,1.2,ok
10,Ne,2p,-0.8936732,-12.159,3,0,0.7,0.7,9.07974,1.2,ok
11,Na,1s,-75.6190573,-1028.85,1,0,0.7,0.7,10.21644,1.2,ok
11,Na,2s,-3.71404,-50.532,1,0,0.7,0.7,10.21644,1.2,ok
11,Na,2p,-1.6504903,-22.456,3,0,0.7,0.7,10.21644,1.2,ok
12,Mg,1s,-91.9878688,-1251.559,1,0,0.7,0.7,8.56138,1.2,ok
12,Mg,2s,-5.1624759,-70.239,1,0,0.7,0.7,8.56138,1.2,ok
12,Mg,2p,-2.7214955,-37.028,3,0,0.7,0.7,8.56138,1.2,ok
13,Al,1s,-110.1918168,-1499.236,1,0,0.7,0.7,7.65305,1.2,ok
13,Al,2s,-6.9474064,-94.524,1,0,0.7,0.7,7.65305,1.2,ok
13,Al,2p,-4.1187364,-56.038,3,0,0.7,0.7,7.65305,1.2,ok
