element,orbital,n,E_minus_EF_median_Ry,E_minus_EF_min_Ry,E_minus_EF_max_Ry,valence_star_fraction
Bi,5d,1102,-1.734,-1.784,-1.672,0.0
Bi,6s,1102,-0.882,-0.945,-0.8,1.0
Ga,3d,1276,-1.105,-1.165,-1.006,1.0
Ge,3d,1270,-1.814,-1.836,-1.786,0.0
Hf,4f,1112,-1.839,-1.892,-1.8,0.0
Hf,5p,1112,-2.256,-2.293,-2.226,0.0
In,4d,1120,-1.101,-1.165,-1.041,1.0
Nb,4p,1242,-2.279,-2.3,-2.256,0.0
Pb,5d,1124,-1.291,-1.354,-1.227,0.03
Sc,3p,1282,-2.065,-2.118,-2.03,0.0
Sn,4d,1110,-1.617,-1.672,-1.56,0.0
Tl,5d,1124,-0.899,-0.95,-0.786,1.0
Y,4p,1276,-1.677,-1.717,-1.635,0.0
Zr,4p,1272,-1.984,-2.02,-1.956,0.0
